t,solar,wind,year
1,0,0.151,2000
2,0.313,0.135,2000
3,0.599,0.227,2000
4,0.728,0.445,2000
5,0.767,0.429,2000
6,0.77,0.383,2000
7,0.766,0.345,2000
8,0.76,0.302,2000
9,0.769,0.264,2000
10,0.705,0.257,2000
11,0.506,0.282,2000
12,0.302,0.269,2000
13,0.027,0.275,2000
14,0,0.345,2000
15,0,0.426,2000
16,0,0.394,2000
17,0,0.28,2000
18,0,0.202,2000
19,0,0.192,2000
20,0,0.197,2000
21,0,0.203,2000
22,0,0.212,2000
23,0,0.22,2000
24,0,0.219,2000
25,0,0.213,2000
26,0.36,0.181,2000
27,0.633,0.252,2000
28,0.74,0.476,2000
29,0.78,0.406,2000
30,0.785,0.289,2000
31,0.776,0.181,2000
32,0.769,0.108,2000
33,0.76,0.066,2000
34,0.721,0.054,2000
35,0.63,0.059,2000
36,0.385,0.076,2000
37,0.035,0.084,2000
38,0,0.121,2000
39,0,0.184,2000
40,0,0.24,2000
41,0,0.277,2000
42,0,0.203,2000
43,0,0.145,2000
44,0,0.127,2000
45,0,0.129,2000
46,0,0.145,2000
47,0,0.156,2000
48,0,0.154,2000
49,0,0.144,2000
50,0.062,0.119,2000
51,0.245,0.082,2000
52,0.436,0.223,2000
53,0.522,0.216,2000
54,0.539,0.155,2000
55,0.543,0.121,2000
56,0.48,0.1,2000
57,0.445,0.087,2000
58,0.345,0.097,2000
59,0.205,0.117,2000
60,0.063,0.105,2000
61,0.002,0.089,2000
62,0,0.112,2000
63,0,0.167,2000
64,0,0.189,2000
65,0,0.133,2000
66,0,0.099,2000
67,0,0.105,2000
68,0,0.104,2000
69,0,0.144,2000
70,0,0.14,2000
71,0,0.129,2000
72,0,0.117,2000
73,0,0.118,2000
74,0.043,0.122,2000
75,0.103,0.177,2000
76,0.178,0.357,2000
77,0.252,0.364,2000
78,0.33,0.326,2000
79,0.407,0.267,2000
80,0.471,0.2,2000
81,0.536,0.154,2000
82,0.545,0.14,2000
83,0.437,0.134,2000
84,0.237,0.126,2000
85,0.015,0.115,2000
86,0,0.138,2000
87,0,0.151,2000
88,0,0.139,2000
89,0,0.134,2000
90,0,0.14,2000
91,0,0.134,2000
92,0,0.123,2000
93,0,0.117,2000
94,0,0.128,2000
95,0,0.134,2000
96,0,0.128,2000
97,0,0.121,2000
98,0.068,0.096,2000
99,0.233,0.163,2000
100,0.396,0.348,2000
101,0.512,0.354,2000
102,0.572,0.314,2000
103,0.582,0.281,2000
104,0.563,0.251,2000
105,0.488,0.232,2000
106,0.389,0.253,2000
107,0.246,0.288,2000
108,0.094,0.257,2000
109,0.005,0.174,2000
110,0,0.17,2000
111,0,0.172,2000
112,0,0.153,2000
113,0,0.142,2000
114,0,0.142,2000
115,0,0.143,2000
116,0,0.162,2000
117,0,0.151,2000
118,0,0.134,2000
119,0,0.108,2000
120,0,0.098,2000
121,0,0.102,2000
122,0.016,0.102,2000
123,0.08,0.108,2000
124,0.179,0.269,2000
125,0.263,0.372,2000
126,0.324,0.364,2000
127,0.321,0.317,2000
128,0.324,0.279,2000
129,0.305,0.243,2000
130,0.247,0.275,2000
131,0.164,0.336,2000
132,0.072,0.302,2000
133,0.003,0.257,2000
134,0,0.203,2000
135,0,0.162,2000
136,0,0.14,2000
137,0,0.125,2000
138,0,0.127,2000
139,0,0.145,2000
140,0,0.154,2000
141,0,0.162,2000
142,0,0.19,2000
143,0,0.253,2000
144,0,0.283,2000
145,0,0.289,2000
146,0.044,0.273,2000
147,0.148,0.345,2000
148,0.25,0.616,2000
149,0.34,0.738,2000
150,0.389,0.755,2000
151,0.414,0.73,2000
152,0.41,0.681,2000
153,0.373,0.611,2000
154,0.296,0.566,2000
155,0.179,0.529,2000
156,0.067,0.424,2000
157,0.002,0.357,2000
158,0,0.371,2000
159,0,0.429,2000
160,0,0.461,2000
161,0,0.482,2000
162,0,0.45,2000
163,0,0.436,2000
164,0,0.424,2000
165,0,0.415,2000
166,0,0.423,2000
167,0,0.436,2000
168,0,0.449,2000
169,0,0.465,2000
170,0.105,0.467,2000
171,0.389,0.579,2000
172,0.567,0.733,2000
173,0.689,0.749,2000
174,0.708,0.72,2000
175,0.723,0.671,2000
176,0.697,0.609,2000
177,0.622,0.543,2000
178,0.484,0.538,2000
179,0.367,0.558,2000
180,0.132,0.486,2000
181,0.005,0.431,2000
182,0,0.478,2000
183,0,0.541,2000
184,0,0.541,2000
185,0,0.509,2000
186,0,0.476,2000
187,0,0.445,2000
188,0,0.387,2000
189,0,0.356,2000
190,0,0.344,2000
191,0,0.342,2000
192,0,0.348,2000
193,0,0.383,2000
194,0.045,0.326,2000
195,0.156,0.446,2000
196,0.282,0.758,2000
197,0.413,0.846,2000
198,0.491,0.86,2000
199,0.529,0.829,2000
200,0.49,0.773,2000
201,0.401,0.696,2000
202,0.28,0.633,2000
203,0.195,0.566,2000
204,0.083,0.449,2000
205,0.005,0.338,2000
206,0,0.351,2000
207,0,0.38,2000
208,0,0.393,2000
209,0,0.391,2000
210,0,0.383,2000
211,0,0.357,2000
212,0,0.336,2000
213,0,0.294,2000
214,0,0.319,2000
215,0,0.264,2000
216,0,0.251,2000
217,0,0.211,2000
218,0.044,0.2,2000
219,0.171,0.324,2000
220,0.34,0.63,2000
221,0.481,0.691,2000
222,0.52,0.66,2000
223,0.556,0.616,2000
224,0.566,0.562,2000
225,0.579,0.502,2000
226,0.535,0.49,2000
227,0.419,0.481,2000
228,0.166,0.442,2000
229,0.012,0.352,2000
230,0,0.28,2000
231,0,0.23,2000
232,0,0.209,2000
233,0,0.195,2000
234,0,0.297,2000
235,0,0.285,2000
236,0,0.245,2000
237,0,0.217,2000
238,0,0.181,2000
239,0,0.13,2000
240,0,0.134,2000
241,0,0.144,2000
242,0.106,0.132,2000
243,0.292,0.249,2000
244,0.487,0.436,2000
245,0.594,0.478,2000
246,0.628,0.485,2000
247,0.632,0.482,2000
248,0.615,0.471,2000
249,0.551,0.45,2000
250,0.383,0.462,2000
251,0.297,0.496,2000
252,0.132,0.466,2000
253,0.008,0.374,2000
254,0,0.39,2000
255,0,0.429,2000
256,0,0.471,2000
257,0,0.47,2000
258,0,0.436,2000
259,0,0.389,2000
260,0,0.347,2000
261,0,0.305,2000
262,0,0.232,2000
263,0,0.205,2000
264,0,0.205,2000
265,0,0.198,2000
266,0.185,0.169,2000
267,0.509,0.429,2000
268,0.667,0.517,2000
269,0.736,0.479,2000
270,0.763,0.412,2000
271,0.754,0.337,2000
272,0.748,0.273,2000
273,0.728,0.228,2000
274,0.682,0.198,2000
275,0.579,0.182,2000
276,0.337,0.16,2000
277,0.031,0.142,2000
278,0,0.161,2000
279,0,0.147,2000
280,0,0.127,2000
281,0,0.104,2000
282,0,0.083,2000
283,0,0.08,2000
284,0,0.079,2000
285,0,0.077,2000
286,0,0.078,2000
287,0,0.09,2000
288,0,0.105,2000
289,0,0.109,2000
290,0.231,0.116,2000
291,0.556,0.181,2000
292,0.708,0.262,2000
293,0.763,0.314,2000
294,0.773,0.358,2000
295,0.764,0.392,2000
296,0.756,0.41,2000
297,0.745,0.403,2000
298,0.712,0.387,2000
299,0.63,0.356,2000
300,0.438,0.31,2000
301,0.053,0.249,2000
302,0,0.272,2000
303,0,0.237,2000
304,0,0.168,2000
305,0,0.109,2000
306,0,0.08,2000
307,0,0.062,2000
308,0,0.046,2000
309,0,0.035,2000
310,0,0.034,2000
311,0,0.035,2000
312,0,0.036,2000
313,0,0.037,2000
314,0.186,0.034,2000
315,0.444,0.059,2000
316,0.654,0.088,2000
317,0.747,0.098,2000
318,0.765,0.105,2000
319,0.76,0.111,2000
320,0.751,0.113,2000
321,0.737,0.112,2000
322,0.687,0.103,2000
323,0.574,0.095,2000
324,0.32,0.09,2000
325,0.021,0.08,2000
326,0,0.096,2000
327,0,0.092,2000
328,0,0.067,2000
329,0,0.033,2000
330,0,0.012,2000
331,0,0.002,2000
332,0,0,2000
333,0,0,2000
334,0,0,2000
335,0,0,2000
336,0,0.002,2000
337,0,0.009,2000
338,0.041,0.018,2000
339,0.133,0.028,2000
340,0.22,0.051,2000
341,0.288,0.051,2000
342,0.346,0.053,2000
343,0.38,0.057,2000
344,0.361,0.052,2000
345,0.297,0.042,2000
346,0.214,0.039,2000
347,0.125,0.043,2000
348,0.053,0.046,2000
349,0.003,0.045,2000
350,0,0.051,2000
351,0,0.043,2000
352,0,0.035,2000
353,0,0.036,2000
354,0,0.041,2000
355,0,0.05,2000
356,0,0.06,2000
357,0,0.056,2000
358,0,0.054,2000
359,0,0.062,2000
360,0,0.053,2000
361,0,0.06,2000
362,0.049,0.062,2000
363,0.171,0.116,2000
364,0.317,0.208,2000
365,0.424,0.263,2000
366,0.498,0.315,2000
367,0.46,0.373,2000
368,0.315,0.432,2000
369,0.232,0.481,2000
